Context.php?Start=115055377&End=115055379	compagnia a compagnia	Da 	compagnia a compagnia	 le condizioni possono variare sensibilmente.
Context.php?Start=143565325&End=143565327	concessionario a concessionario	In vendita al prezzo di listino di 10,8 milioni (in realtà molto più basso graziealle tante offerte promozionali che variano da 	concessionario a concessionario	), questa Honda continua ad essere molto attuale: grande protezione aerodinamica, e motore monocilindrico a 4 tempi di 244 cc da 17 Cv garantiscono prestazioni di tutto rilievo.
Context.php?Start=112119924&End=112119926	confine a confine	2 Il traffico di transito delle merci attraverso le Alpi da 	confine a confine	 avviene per ferrovia.
Context.php?Start=117324220&End=117324222	confine a confine	In Finlandia si disputa la marcia sciistica non competitiva più lunga del mondo: la Rajalta rajalle - hiihto (che tradotto dal finlandese significa"Sciata da 	confine a confine	"), più di 400 chilometri percorsi costeggiando il Circolo polare artico da Saunavaara, vicinoalla Russia, finoalla Svezia.
Context.php?Start=43086900&End=43086902	confusione a confusione	È un momento storico, aggiunge la nota, «che esige di non disperdere il voto, per non aggiungere 	confusione a confusione	».
Context.php?Start=146065443&End=146065445	confusione a confusione	Aggiunge 	confusione a confusione	.
Context.php?Start=62987256&End=62987258	congresso a congresso	Oltretutto non è detto che quell'ateneo abbia davvero bisogno in quel momento del migliore nel suo campo: se la materia è fisica, potrebbe già avere in casa un premio Nobel, ma si sa, i grandi studiosi viaggiano molto da 	congresso a congresso	, talora sono più bravi a pensare che a insegnare, e a quell'ateneo fa invece comodo un giovane professore noto per la sue qualità didattiche, capace di dare ascolto agli studenti e di seguire con passione le tesi.
Context.php?Start=27696865&End=27696867	consenso a consenso	Lino Banfi in Un medico in famiglia E non è certamente un caso il successo via via più incontrastabile del pool di Fabio Fazio, forse l'incarnazione tv più credibile del partito democratico in veste veltronica, un infotainment che crea consenso, anzi, che somma 	consenso a consenso	, riuscendo perfino a proporre al pubblico in prima serata scrittori come Mario Rigoni Stern e Luigi Menghello.
Context.php?Start=23115430&End=23115432	consumatore a consumatore	C'è tuttavia una particolare modalità di scambio P2P che riveste uno specifico interesse economico e commerciale anche per le giovani'imprese di rete': si tratta degli scambi C2C, ovvero da 	consumatore a consumatore	.
Context.php?Start=60654250&End=60654252	contesto a contesto	È vero che il concetto di giustizia cambia da epoca a epoca e da 	contesto a contesto	, ma il bisogno di giungere a una sua rappresentazione condivisa rimane costante e immutabile.
Context.php?Start=10934223&End=10934225	continente a continente	Ma come è accaduto spesso in economia, dal modello dottrinario alla realtà del giorno dopo giorno può esserci un gap, uno scarto che ha fatto sorgere più di un dubbio sulle capacità salvifiche della globalizzazione nel risolvere i problemi del mondo, che sono tanti e tanto diversi da paese a paese, da 	continente a continente	.
Context.php?Start=70325662&End=70325664	continente a continente	Ero passato accantoa coloro che metamorfosavano il mondo creato: i mercanti che portavano arnesi e tessuti da 	continente a continente	, sotto climi diversi, come pesci fuor d'acque o uccelli persi nelle brughiere; i banchieri che permutavano merce e denaro, e con un colpo magico le cose cambiavano colore e diventavano il loro stesso contrario; gli alchimisti, chiusi nelle cantine a macerarsi tra fuochi e lambicchi nella speranza di convertire in oro il grezzo metallo; comese ognuno avesse scritto nell'anima che bisogna trasformare le cose, e che l'uomo ha fretta perché sa di essere un animale di passaggio.
Context.php?Start=100526994&End=100526996	continente a continente	La molteplicità delle fonti utilizzate dipende dal fatto che queste leggende: a) debbono fissarsi tramite la ricerca sul campo e l'attenzione coeva a tutte le fonti scritte e audiovisive nel momento stesso in cui hanno circolazione dentro la società, anche perché abbisognano di analisi ravvicinate nel tempo; b) hanno perlopiù radici arcaiche, circolano continuamente modificandosi da decenni o addirittura da secoli e quindi possono avere antecedenti in qualunque fonte del passato; c) sono conosciute in ogni parte del globo, per cui sarà importante tentare di documentare anche i percorsi che compiono non solo all'interno di un paese ma da nazione a nazione, anzi da 	continente a continente	.
Context.php?Start=100774926&End=100774928	continente a continente	In effetti il significato delle parole"edizione"e"libro"differiscono non soltanto da 	continente a continente	, ma anche da paese a paese.
Context.php?Start=88800817&End=88800819	contrada a contrada	Tento oggi di ricambiare la loro fiducia fissando sulla carta queste confidenze inquanto sono, ormai avanti con gli anni, uno dei loro, sprofondato beatamente nella ricchezza dei dialetti che variano da 	contrada a contrada	, da rione a rione, come alle"porte"di Vicenza che chiudono la città, a ridosso di piccole osterie dove lo stesso vino conosce definizioni diverse in colorate sonorità".
Context.php?Start=99717377&End=99717379	copertina a copertina	La cronaca del suo duello con il Parkinson è una di quelle che si legge da 	copertina a copertina	 con il minimo di pause.
Context.php?Start=11796705&End=11796707	coppia a coppia	La reale possibilità di successo varia da 	coppia a coppia	; spetterà al medico valutarla, inbaseal tipo di tecnica che conviene utilizzare, alla patologia da superare, alla storia clinica, eccetera, e comunicarla alla coppia.
Context.php?Start=34935942&End=34935944	core a core	Na nenia a 	core a core	, na canzone peccantaaaaa'!
Context.php?Start=87796363&End=87796365	core a core	Dice questo Esposito:"Basta ca ce sta'o sole, basta ca ce sta'o mare,'na nenna a 	core a core	 e'na canzone pe cantà, chi ha avuto, ha avuto, ha avuto, chi ha dato, ha dato, ha dato, scurdammece'o passato, simme'e Napule paisà".
Context.php?Start=94051466&End=94051469	core a core	Si direbbe di sì, a giudicare da quel che sta avvenendo nelle acque del Gran Cayman, nel Mar dei Caraibi, dove in un tunnel naturale che corre parallelo alla barriera corallina nuotano  	core a core	 > subacquei e pesci velenosi.
Context.php?Start=916869&End=916871	corpo a corpo	Nel combattimento 	corpo a corpo	 è leggermente avvantaggiato rispettoai maghi puri, perché la classe è abituata a girovagare dentro foreste e luoghi sperduti nella ricerca di ingredienti nuovi per i propri incantesimi.
Context.php?Start=918518&End=918520	corpo a corpo	Capaci di sopravvivere con l'espediente, di lottare nel 	corpo a corpo	 o di utilizzare semplici magie, vennero radunati in un'unica congregazione, creata dal bardo Jienn, con sede a Jensys.
Context.php?Start=919195&End=919197	corpo a corpo	Per contro la loro forze e il loro fisico non sono assolutamente adatti nello scontro 	corpo a corpo	.
Context.php?Start=920480&End=920482	corpo a corpo	Caratteristica utile a chi combatte 	corpo a corpo	 con l'avversario.
Context.php?Start=920761&End=920763	corpo a corpo	È valido solo nel 	corpo a corpo	.
Context.php?Start=921162&End=921164	corpo a corpo	STILE è lo stile di combattimento attualmente adottato nel 	corpo a corpo	.
Context.php?Start=5705682&End=5705684	corpo a corpo	Gli unni però, perso il vantaggio della forza d'urto della cavalleria, si videro imprigionati in un 	corpo a corpo	 che premiava la pesantezza dell'equipaggiamento difensivo e offensivo romano.
Context.php?Start=7582132&End=7582134	corpo a corpo	Per far ciò si può scegliere fra tre classi di personaggi: il guerriero, il mago e il"rogue"(che in italiano potremmo tradurre alla larga con"furfante"), ognuno con i suoi punti di forza e le sue debolezze (il guerriero è forte nel 	corpo a corpo	, ma se la cava male con la magia, il rogue preferisce le armi da lancio ecc).
Context.php?Start=9747452&End=9747454	corpo a corpo	E'il carattere di questa fine secolo: un 	corpo a corpo	 tra universalismo e tribalismo.
Context.php?Start=11491840&End=11491842	corpo a corpo	In un vicolo di qualche slum del Terzo Mondo potrebbe nascondersi un gigante abbastanza robusto da batterlo in un 	corpo a corpo	, il miglior lottatore del pianeta potrebbe magari resistere ai suoi colpi abbastanza a lungo da immobilizzarlo e un esperto in arti marziali di qualche remota palestra sarebbe forse ingradodi sorprenderlo con mosse impreviste.
Context.php?Start=11657643&End=11657645	corpo a corpo	Di tutti i sensi l'olfatto è forse il più intransigente e il naso può diventare decisivo in quel 	corpo a corpo	 che è, in definitiva, l'atto sessuale.
Context.php?Start=12141466&End=12141468	corpo a corpo	I due fratelli si scontrarono accanitamente 	corpo a corpo	 e morirono entrambi.
Context.php?Start=12287852&End=12287854	corpo a corpo	... Non era il momento adatto a considerazioni tattiche, la colluttazione era diventata un furioso combattimento 	corpo a corpo	.
Context.php?Start=12569145&End=12569147	corpo a corpo	E certamente, in ogni caso, da questo contatto ne esci con una dignità consolidata, con una consapevolezza che ancora non possedevi, con una voglia e una volontà accresciute, e nuove armi, insomma, nuove munizioni per l'esercizio di quel difficile mestiere, per quell'autentico 	corpo a corpo	 con se stessi che è la scrittura.
Context.php?Start=14254670&End=14254672	corpo a corpo	Lottando 	corpo a corpo	, braccati uno per uno, in una notte di sangue (la triste noche) si aprirono un varco.
Context.php?Start=15207314&End=15207316	corpo a corpo	E il confronto è sviluppato su tutte le distanze: corta (nel 	corpo a corpo	), media (gomiti e ginocchia) e lunga (colpi con braccia e gambe).
Context.php?Start=15818387&End=15818389	corpo a corpo	"Subire il 	corpo a corpo	 con un tempo di lavoro che quotidianamente insidia e invade il tempo di vita, con uno spazio che si fa liquido e mutevole non più definito dagli stabili confini della fabbrica".
Context.php?Start=15955541&End=15955543	corpo a corpo	Animati da una energia psichica e creativa nuova, in un 	corpo a corpo	, questi fotografi sviluppano immagini nuove, frutto di sopraffazioni, persecuzioni, raggiramenti, compiuti in movimento, di corsa o a cavallo della moto, durante le ronde notturne".
Context.php?Start=15955624&End=15955626	corpo a corpo	Un'energia creativa e corporale che, secondo il critico, trova una corrispondenza, aldilàdell'oceano, con l'avanguardia dell'Action Painting proclamata da Jackson Pollock:"Lì il pittore si dislocava intornoalla tela per intervenire in una sorta di 	corpo a corpo	, sviluppando un linguaggio pittorico frutto di un'azione irruenta, veloce, dinamica".
Context.php?Start=16428667&End=16428669	corpo a corpo	Più in generale, dunque, assisteremo a un 	corpo a corpo	 tra computer - sottiletta e telefonini - cervellone, entrambi in lotta per aggiudicarsi il primato come apparecchio elettronico di riferimento.
Context.php?Start=16555983&End=16555985	corpo a corpo	Qualcuno prevede che farà un buco nell'acqua e si troverà impantanato in un 	corpo a corpo	 con i partiti ulivisti.
Context.php?Start=16574758&End=16574760	corpo a corpo	In questa situazione i giornalisti portati alseguitodelle truppe per assistere a un rapido trionfo, sono diventati scomodi testimoni di una campagna difficile e lunga, dove i combattimenti 	corpo a corpo	 nelle periferie delle città si verificano con una frequenza sempre più ravvicinata.
Context.php?Start=16652126&End=16652128	corpo a corpo	"Questa lotta 	corpo a corpo	, questo rapporto odio - amore è stato fatale nelle ricadute che ha avuto".
Context.php?Start=16947786&End=16947788	corpo a corpo	Qualche scettico si domanderà comemai il comando americano mandi un preziosissimo marconista navajo a combattere 	corpo a corpo	 contro il nemico, con il rischio che lo catturino.
Context.php?Start=17228924&End=17228926	corpo a corpo	Sotto quel sole"invisibile, freddo, calvinista ed eretico"è tutto uno scintillare di picche, lance, moschetti, morioni, archibugi; le battaglie sono polvere, onore, sangue, 	corpo a corpo	, dolore e destino; e l'avventura è l'avventura, come sempre in Pérez - Reverte.
Context.php?Start=17644856&End=17644858	corpo a corpo	"Mi piacciono tutti e quattro, ma la sensazione del primo... il 	corpo a corpo	 con Nesta, un confronto dal quale esco vincitore: bellissimo.
Context.php?Start=17889889&End=17889891	corpo a corpo	Quella del regista cinematografico interpretato da Ennio Fantastichini, impegnato nel 	corpo a corpo	 con il proprio"demone"che, giunto egli al centro anagrafico e professionale della vita, non gli dà pace.
Context.php?Start=17891052&End=17891054	corpo a corpo	La guerriglia urbana, la battaglia 	corpo a corpo	 nelle strade della capitale è proprio quello che al Pentagono vogliono evitare.
Context.php?Start=18926864&End=18926866	corpo a corpo	Cerca il 	corpo a corpo	 con Del Piero, fatica, ma ottiene spesso buoni risultati.
Context.php?Start=19108535&End=19108537	corpo a corpo	Sembrano interconnesse in una sfida infinita che si tramanda da 	corpo a corpo	, da anima ad anima, da essere ad essere.
Context.php?Start=22218130&End=22218132	corpo a corpo	Si è barricato nel suo tugurio, impegnato in un interminabile 	corpo a corpo	 con la suscettibile divinità cibernetica.
Context.php?Start=22363870&End=22363872	corpo a corpo	Particolarmente dotati come uccisori, più utili dei cecchini perché quanto imbattibili nei 	corpo a corpo	 e nei combattimenti casa per casa, spesso uccidevano in modo crudele, lui ad esempio era noto in quella zona del fronte di Stalingrado con l'appellativo di `` Sergente Mannaia'', inquanto questa era la sua arma preferita, strumento pratico e utilissimo quando nell'attaccare le trincee nemiche occorreva combattere all'arma bianca.
Context.php?Start=22374656&End=22374658	corpo a corpo	essi o lo impegnavano in violenti combattimenti 	corpo a corpo	, oppure rimanevano ritti immobili e silenziosi in qualche angolo della casa.
Context.php?Start=22406563&End=22406565	corpo a corpo	Il killer - ballerino e le cubiste - prede erano impegnati in una danza 	corpo a corpo	 molto coinvolgente.
Context.php?Start=22645648&End=22645650	corpo a corpo	Le tattiche riflettono le tradizionali forme di lotta a 	corpo a corpo	.
Context.php?Start=23714043&End=23714045	corpo a corpo	Dopo una notte di battaglia, con esplosivo, scontri a fuoco e lotte 	corpo a corpo	, la struttura del carcere viene resa inagibile.
Context.php?Start=23780117&End=23780119	corpo a corpo	Al fuoco della pistola, Fortunato preferì il 	corpo a corpo	.
Context.php?Start=26618479&End=26618481	corpo a corpo	E una volta messe in chiaro le cose lì, nel 	corpo a corpo	, hanno iniziato a giocare il loro rugby di qualità superiore.
Context.php?Start=30542088&End=30542090	corpo a corpo	... Joey che lottava contro il divano, mentre due uomini ingaggiavano un 	corpo a corpo	 con lui.
Context.php?Start=30893366&End=30893368	corpo a corpo	"Talvolta la vecchia ostilità di Retancourt neiconfrontidi Adamsberg tornava a riaffiorare alla superficie dei loro rapporti, benché il loro contenzioso si fosse risolto in Qué bec, in uno straordinario 	corpo a corpo	 che aveva realizzato una fusione per tutta la vita tra il tenente e il suo commissario.
Context.php?Start=30903132&End=30903134	corpo a corpo	A volte, e dopo il 	corpo a corpo	 che aveva salvato le loro due vite, il commissario e il tenente cambiavano registro come un treno cambia binario, passando al tu della complicità intima e definitiva.
Context.php?Start=30978707&End=30978709	corpo a corpo	I colpi sono stati sparati durante la lotta, 	corpo a corpo	.
Context.php?Start=31393427&End=31393429	corpo a corpo	Nel 	corpo a corpo	 per lavarci i capelli, mamma canticchiava:"Nell'Italia, e dei Rossetti, no se parla no se parla che italian".
Context.php?Start=32016796&End=32016798	corpo a corpo	Gli scontri, compresi violenti 	corpo a corpo	, avvengono all'interno di villa Doria Pamphili e lungo l'Aurelia.
Context.php?Start=32868075&End=32868077	corpo a corpo	Era Marlon Brando, mica Pippo Inzaghi, che si avventava su Vivien Leigh: «Vuoi un 	corpo a corpo	?
Context.php?Start=33555084&End=33555086	corpo a corpo	Tutt'intorno, uno scenario da incubo: due donne ferite che gemevano in un lago di sangue, i clienti del supermercato"Panorama", sulla Tiburtina, che scappavano terrorizzati, un vigilante con la divisa insanguinata, pallido come un morto dopo un furioso 	corpo a corpo	 con l'uomo del coltello.
Context.php?Start=35728822&End=35728824	corpo a corpo	La maglia rosa passa sulle spalle di Alexandre Vinokourov: oggi la gara è stata un tremendo 	corpo a corpo	, l'ideale per un duro come il kazako.
Context.php?Start=36487398&End=36487400	corpo a corpo	Sì, sono stato ferito di spada in 	corpo a corpo	.
Context.php?Start=36747635&End=36747637	corpo a corpo	Ma questo ha coinciso anche con una lotta, una lotta quotidiana, un 	corpo a corpo	 silenzioso, come un combattimento ombra.
Context.php?Start=36769742&End=36769744	corpo a corpo	Come dice Manuel Estiarte, il più forte pallanuotista di tutti i tempi: «È vero, bisogna calcolare che le probabilità che Messi esca sconfitto da un impatto 	corpo a corpo	 sono elevate, come elevato è il rischio che venga totalmente travolto dai difensori.
Context.php?Start=37246093&End=37246095	corpo a corpo	A braccia larghe venne addosso per il 	corpo a corpo	, feci la mossa di sollevarmi in tutta la statura, lui alzò la testa per guardarmi in faccia ed ebbe in pieno il rimbalzo di luce che cercavo.
Context.php?Start=37271517&End=37271519	corpo a corpo	Ma i capelli corti erano per impedire che qualcuno avesse modo di afferrarla durante un 	corpo a corpo	, l'espressione severa rappresentava una distanza da mantenere, incrociare le braccia poteva significare insicurezza, toccare una persona serviva a trasmettere un senso di protezione e instaurare un rapporto di confidenza necessario per farla aprire e confidare.
Context.php?Start=37416707&End=37416709	corpo a corpo	Aveva continuato a corteggiarle per abitudine, sfinendole in estenuanti 	corpo a corpo	 telefonici.
Context.php?Start=37697239&End=37697241	corpo a corpo	Allora in quel caso tutti gli schemi saltano, tutto quello che c'è stato primadel 	corpo a corpo	 con la regina degli sport sono stati come innocui bacetti formali dati ai cugini o ai nonni.
Context.php?Start=38910927&End=38910929	corpo a corpo	Saphira era meglio equipaggiata dei Lethrblaka per il combattimento 	corpo a corpo	, graziealle squame - più dure e resistenti della loro pellaccia grigia - e ai denti - di gran lunga più letali del loro becco in uno scontro ravvicinato - ma in quella situazione, con il basso soffitto della caverna che le dava scarsa libertà di manovra per saltare o volare, aveva non poche difficoltà a tenere testa a due creature che l'attaccavano contemporaneamente.
Context.php?Start=38982777&End=38982779	corpo a corpo	I caduti statunitensi erano già più di centomila, vittime in ugual misura del gelido inverno coreano e della maestria dell'esercito cinese nel combattimento 	corpo a corpo	 e nelle incursioni notturne.
Context.php?Start=39352200&End=39352202	corpo a corpo	«Avrei voluto vedere te, impegnato in un 	corpo a corpo	 con 210 Bloddeuwedd.
Context.php?Start=40882131&End=40882133	corpo a corpo	Abbandonando la grande guerra - la guerra dei principi - che se da un lato ha le sue emozioni e i suoi grandiosi risultati, serba dall'altro in ogni ora il rispetto verso il nemico, i più fra i militi che li compongono, senza pur ascoltare la voce dei capi, si azzufferanno a 	corpo a corpo	 coi nemici, di null'altro più desiosi, che di far loro il maggior danno possibile [... ].
Context.php?Start=41883704&End=41883706	corpo a corpo	l'ufficiale l'ufficiale trasferimento trasferimento da 	corpo a corpo	.
Context.php?Start=42995308&End=42995310	corpo a corpo	Ma, dicono le cronache, amava il marito, il loro era un interminabile testa a testa, un 	corpo a corpo	 infinito, struggente.
Context.php?Start=43411788&End=43411790	corpo a corpo	Al 	corpo a corpo	 c'è mancato un pelo.
Context.php?Start=44422300&End=44422302	corpo a corpo	Perché il Biarritz ha giocato con la squadra vera, acominciareda capitan Harinordoquy, perché in Heineken nessuno scherza e perché gli 80 minuti sono stati un durissimo 	corpo a corpo	 risolto solo a 2 minuti dalla fine da un drop di Laharrague (ex Biarritz).
Context.php?Start=46371462&End=46371464	corpo a corpo	La veglia notturna, per lungo tratto, è diventata un esercizio riservato alla liturgia monastica, con quelle alzatacce nel cuore della notte, alla luce fioca delle candele, quel prendersi cura del tempo dell'oblio attraverso un 	corpo a corpo	 tenero e spigoloso con Dio.
Context.php?Start=46567465&End=46567467	corpo a corpo	La solitudine di un uomo che, applicando le leggi, incrocia il 	corpo a corpo	.
Context.php?Start=47794526&End=47794528	corpo a corpo	Nella tradizione cristiana, durante i giorni di Pasqua si legge un versetto in latino che dice in modo mirabile che la vita e la morte combattono 	corpo a corpo	.
Context.php?Start=47815366&End=47815368	corpo a corpo	E aggiungo: l'impegno deve essere un 	corpo a corpo	.
Context.php?Start=47973590&End=47973592	corpo a corpo	A mezzanotte e un quarto avanzò anche Cutty con due compagnie, dopo aver constatato che il terreno difrontea sé non era minato: da quella parte gli egiziani non si aspettavano un attacco, e i loro obici continuarono a sparare lontano finoa quando gli artiglieri non si ritrovarono i soldati nemici addosso; dopo un 	corpo a corpo	 di due ore, le prime due trincee erano nelle mani degli israeliani, e un'ora dopo la terza veniva attaccata dalla compagnia di riserva di Cutty.
Context.php?Start=48969433&End=48969435	corpo a corpo	Capirei con un pugnale o un'ascia in un 	corpo a corpo	 come tra due gladiatori di specie diverse e ugualmente potenti, ma da un casotto in cui si nasconde il vile cacciatore munito di veri e propri cannoni che oltretutto si confronta con delle anatre o delle allodole!
Context.php?Start=49197171&End=49197173	corpo a corpo	Non possedeva più la pistola e la spranga che aveva trovato si sarebbe rivelata utile solo in uno scontro 	corpo a corpo	.
Context.php?Start=49424586&End=49424588	corpo a corpo	Nei giorni seguenti la Comune si era spenta, con un ultimo 	corpo a corpo	 all'arma bianca nel cimitero del Père - Lachaise.
Context.php?Start=50069719&End=50069721	corpo a corpo	Armi da fuoco e da taglio, 	corpo a corpo	, esplosivi.
Context.php?Start=50075521&End=50075523	corpo a corpo	Non gli restava che il combattimento 	corpo a corpo	.
Context.php?Start=50076307&End=50076309	corpo a corpo	James Buck aveva fatto parte delle SAS, le forze aeree speciali britanniche, e, tra le altre cose, era un esperto di combattimenti 	corpo a corpo	 e di armi bianche.
Context.php?Start=50094239&End=50094241	corpo a corpo	A giudicare dallo sguardo, anche l'istruttore amante del 	corpo a corpo	 e delle armi da taglio se n'era reso conto.
Context.php?Start=50279723&End=50279725	corpo a corpo	Ryan era più veloce, più in forma e meglio addestrato nel combattimento 	corpo a corpo	, ma Rehan aveva una maggiore forza bruta e cercava di impedire all'avversario di sferrare dei colpi.
Context.php?Start=55539487&End=55539489	corpo a corpo	Marlon Brando 1951 - Un tram che si chiama Desiderio (A Streetcar Named Desire), regia di Elia Kazan Vuoi un 	corpo a corpo	, eh?
Context.php?Start=57747248&End=57747250	corpo a corpo	Mi sono avvicinato all'opera da 	corpo a corpo	, finoall'imitazione della circoncisione.
Context.php?Start=57889238&End=57889240	corpo a corpo	Allora Rambo spegne di nuovo la luce, prende il sacchetto e gli va incontro, petto contro petto lo spinge fuori e questo 	corpo a corpo	 non gli fa nessun effetto, nessun fremito sotto la pelle, solo lo scontro primitivo fra esseri umani.
Context.php?Start=59774648&End=59774650	corpo a corpo	» Flavus notò che il ragazzo chiamato Germanico era adesso duramente impegnato in un 	corpo a corpo	.
Context.php?Start=59775910&End=59775912	corpo a corpo	«Ti ha mai detto qualcosa mentre eravate in 	corpo a corpo	?
Context.php?Start=59807623&End=59807625	corpo a corpo	Sergio Vetilio riprese il suo racconto: «Crasso schierò i suoi in un blocco compatto che divenne così ancora più facile da accerchiare per i nemici che non ingaggiavano mai il 	corpo a corpo	 ma sempre colpivano da lontano e poi si disimpegnavano.
Context.php?Start=59845138&End=59845140	corpo a corpo	Mai prima quei guerrieri avevano affrontato 	corpo a corpo	 le legioni e non pareva loro vero di sfogare la rabbia a lungo compressa su quei reparti in disfatta, inpredaal panico e alla confusione.
Context.php?Start=59849683&End=59849685	corpo a corpo	Tauro cercò di fermarlo: per qualche istante la sua rocciosa complessione, il suo coraggio, l'abilità nel duello e l'esperienza di mille combattimenti 	corpo a corpo	 parvero mettere in difficoltà il guerriero germanico.
Context.php?Start=62466275&End=62466277	corpo a corpo	Eppure, paradossalmente, incapace in queste settimane di garantire la sicurezza dei civili israeliani, vistoche l'esasperazione delle condizioni di vita nei Territori occupati ha portato a un'esplosione di violenza che si traduce in aggressioni 	corpo a corpo	 con i coltelli.
Context.php?Start=62942883&End=62942885	corpo a corpo	Gli attivisti sono arrivati quasi al 	corpo a corpo	 con il deputato gridandogli"venduto"e accusandolo per la sua scelta di lasciare il Movimento, insiemead altri nove parlamentari, alla vigilia del voto per il Colle.
Context.php?Start=63830325&End=63830327	corpo a corpo	Che errore accettare il duello rusticano imposto dall'Atletico, farsi irretire poco alla volta da quella saga di marcature feroci, di 	corpo a corpo	 ininterrotti, di gomiti alti dall'una e dall'altra parte.
Context.php?Start=64133012&End=64133014	corpo a corpo	Eravamo tutt'e due quello che i pugili chiamano dei ghiottoni» (un termine dello slang sportivo che designava chi non ha paura del 	corpo a corpo	, e si lascia massacrare piuttosto che arrendersi).
Context.php?Start=64386742&End=64386744	corpo a corpo	Drndic ingaggia una sfida con l'oblio, un doloroso 	corpo a corpo	: ciò che torna, torna per lampi, presagi a rovescio, indizi materiali, fonti fragilissime di un'archeologia dell'altroieri.
Context.php?Start=64463402&End=64463404	corpo a corpo	E questo adispettodell'ottimismo dei responsabili sanitari locali, che vantano l'esperienza accumulata nella generosa lotta 	corpo a corpo	 contro una malattia le cui distruzioni sembrano rimandare ad una maledizione biblica.
Context.php?Start=64560538&End=64560540	corpo a corpo	E ancora: a Poitiers Carlo Martello riesce a fermare l'espansione degli arabi in Europa perché impone ai suoi fanti di attendere i cavalieri berberi a piè fermo per il 	corpo a corpo	, evitando così la trappola della tattica evasiva musulmana dell'«al - qarr wa al - farr», cioè dell'attacco seguito da una programmata ritirata, mirante a illudere l'avversario, per poi portare un improvviso e inatteso nuovo attacco.
Context.php?Start=66150723&End=66150725	corpo a corpo	Queste si frequentano, ma non permettono di costruire un 	corpo a corpo	 con i libri.
