NPN;construction;preposition;noun;context_pre;costr;context_post;number_of_noun;Type;other_cxn;meaning;syntactic_function
chiusura a chiusura;no;a;chiusura;In questa prospettiva il calo del BTp future, che da;chiusura a chiusura;è passato da 112,52 a 111,36, non può essere considerato drammatico: sulla scadenza decennale lo spread rispetto ai Bund tedeschi si è allargato solo di poco, a 68 punti base a fine giornata contro i 64 del giorno prima.;sg;PNPN;yes;distractor;_
Christine su Christine;no;su;Christine;"Nel 1969 anche i Nomadi si dedicano al ""trans"", cantano";Christine su Christine;Jorgensen, una transessuale famosa dal 1952, fotografa, attrice e cantante.;X;proper_name_inglobation;no;distractor;_
decibel a decibel;yes;a;decibel;Tutti in fila verso l'ingresso del Motodrom, con le bandiere sottobraccio e le trombe da stadio per aggiungere;decibel a decibel;quando Michael e Ralf fanno guaire il motore sotto le tribune.;sg;verbal;yes;distractor;_
corpo a corpo;yes;a;corpo;Essi o lo impegnavano in violenti combattimenti;corpo a corpo;, oppure rimanevano ritti immobili e silenziosi in qualche angolo della casa.;sg;_;_;juxtaposition/contact;modifier
donne su donne;no;su;donna;Così in quegli anni le esperienze di lavoro di;donne su donne;con sofferenza psichiatrica, se da una parte sollevarono alcune delle questioni dell'esser donna, dall'altra lasciarono immutato il manicomio e tanto piu' le donne che in quello continuavano ad essere recluse, non riuscendo ad arrivare al nocciolo della psichiatria, ne' tanto piu' arrivando a restituire al sociale, al sociale della comunita' femminile, la sua sofferenza.;pl;thematic_target;no;distractor;_
zero a zero;yes;a;zero;Ronaldo ha sbagliato un calcio di rigore quando la partita era ancora sullo;zero a zero;, ma pochi minuti dopo si è fatto perdonare l'errore portando in vantaggio i nerazzurri su un'azione nata da un calcio di punizione.;sg;NumPNum;no;distractor;_
leggi su leggi;no;su;legge;"Ecco perché nel Parlamento italiano non c'è mai stato nè mai ci sarà un deputato o un senatore che si alzi a dire: ""Onorevoli colleghi, smettiamola di affastellare";leggi su leggi;: in attività di servizio ce ne sono oltre duecentocinquantamila, il che ci rende lo zimbello del mondo.;pl;_;_;greater_plurality/accumulation;nominal
lettere su lettere;yes;su;lettera;In quel periodo Intrieri scriveva;lettere su lettere;al Viminale, alla prefettura e al prefetto.;pl;_;_;greater_plurality/accumulation;nominal
3 su 3;yes;su;3;Da segnalare anche un ottima prestazione di Cazzulo con;3 su 3;da due e 2 su 2 dalla lunetta, in momenti importanti della gara.;X;NumPNum;no;distractor;_
volta a volta;no;a;volta;I contributi alla comune cultura europea possono essere;volta a volta;preziosissimi come nel caso della libreria di Jim Stirling nei giardini della Biennale di Venezia o invece di una disarmante superficialità come nelcaso del progetto vincitore della nuova uscita del museo degli Uffizi a Firenze.;sg;_;_;succession/iteration/distributivity;modifier
individuo ad individuo;no;a;individuo;Le percentuali su esposte variano lievemente da;individuo ad individuo;e la presenza quantitativa di determinate sottoclassi sembra essere in correlazione con la presenza di particolari allotipi delle catene H e L.;sg;PNPN;yes;distractor;_
concessionario a concessionario;yes;a;concessionario;In vendita al prezzo di listino di 10,8 milioni (in realtà molto più basso grazie alle tante offerte promozionali che variano da;concessionario a concessionario;), questa Honda continua ad essere molto attuale: grande protezione aerodinamica, e motore monocilindrico a 4 tempi di 244 cc da 17 Cv garantiscono prestazioni di tutto rilievo.;sg;PNPN;yes;distractor;_
individuo a individuo;no;a;individuo;La sensibilità all'alcool varia molto da;individuo a individuo;"; ma il fatto che uno lo regga bene e un altro si ubriachi subito sembra dovuto anche ai suoi geni, in particolare al gene che comanda la produzione nel cervello di un enzima, la Fyn chinasi.";sg;PNPN;yes;distractor;_
stagioni su stagioni;no;su;stagione;Alla finestra sul mondo trascorsero;stagioni su stagioni;, poi fu di nuovo neve.;pl;_;_;greater_plurality/accumulation;nominal
porta a porta;yes;a;porta;La sua storia di origini americane risale agli Anni 40 quando fu adottata dai ragazzi che consegnavano i quotidiani;porta a porta;.;sg;_;_;succession/iteration/distributivity;modifier
ricorsi su ricorsi;no;su;ricorso;Ma in questo caso, cioè se i repubblicani decidessero di procedere alla convocazione di testimoni imbarazzanti per Clinton, la Casa Bianca reagirebbe alzando il tiro: presentando;ricorsi su ricorsi;alla Corte costituzionale, chiedendo un rinvio per la preparazione della difesa, moltiplicando il numero dei testimoni, allungando all'infinito l'iter dell'impeachment.;pl;_;_;greater_plurality/accumulation;nominal
opinioni su opinioni;no;su;opinione;Ma allora, per essere pienamente razionale, ognuno dovrebbe essere dotato di una rappresentazione del mondo che è costituita da una gerarchia infinita dio;opinioni su opinioni;.;pl;_;_;greater_plurality/accumulation;nominal
corpo a corpo;yes;a;corpo;"Sto rollando verso di te, balena, tu che tutto distruggi e nulla conquisti; fino all'ultimo lotto con te";corpo a corpo;", e dal cuore dell'inferno ti pugnalo; in nome dell'odio ti sputo addosso l'estremo respiro.";sg;_;_;juxtaposition/contact;modifier
incarichi su incarichi;no;su;incarico;Così finii, ancora una volta, ad accumulare in breve tempo;incarichi su incarichi;, fino ad arrivare a dirigere l'intera divisione.;pl;_;_;greater_plurality/accumulation;nominal
sinistra a sinistra;no;a;sinistra;Gli otto referendum - che potevano essere un primo banco di prova per l'unità della;sinistra a sinistra;dal Pd - sono stati in realtà motivi di discussione, e di divisione: «Siamo più divisi di prima», ha detto proprio all'Espresso Civati, intervistato a pochi giorni dalla chiusura della campagna.;sg;N_extended;no;distractor;_
volta a volta;no;a;volta;I suoi attori, ancora stancamente presenti, si scagliano;volta a volta;contro il sistema della partitocrazia, contro il regime del Caf, contro un sistema imprenditoriale arretrato, contro un mondo dell'informazione che ha preferito distorcere il suo prodotto (ma c'è chi preferisce considerarlo un servizio) al di là del lecito, contro l'organizzazione statale: tutti elementi indubbiamente intrecciati, ma ciascuno dotato anche di vita propria e di inesauribili capacità di sopravvivere alla sua stessa pubblica sconfessione.;sg;_;_;succession/iteration/distributivity;modifier
libri su libri;yes;su;libro;Le ho già detto che ricevo in continuazione;libri su libri;.;pl;_;_;greater_plurality/accumulation;nominal
ruota su ruota;no;su;ruota;DEFINIZIONE: l' attrito volvente (a) è la forza che si sviluppa fra due solidi a contatto in moto rotatorio relativo senza strisciamento (;ruota su ruota;o ruota su strada).;sg;thematic_target;no;distractor;_
scienziato a scienziato;yes;a;scienziato;L'interpretazione di una teoria, diversa da;scienziato a scienziato;, ha però costituito in molti casi lo spunto per nuove scoperte.;sg;PNPN;yes;distractor;_
fogli su fogli;no;su;foglio;Abbiamo passato un pomeriggio intero, io e Fabio, in quel negozio in centro, con la commessa appresso che compilava;fogli su fogli;.;pl;_;_;greater_plurality/accumulation;nominal
occasioni su occasioni;no;su;occasione;Il Monteveglio, che fra l'altro, si era portato in vantaggio già nel primo tempo, che aveva avuto;occasioni su occasioni;, tutte malamente sbagliate, è stato battuto dalla compagine di Castelnuovo che ha sfruttato tutto quello che i locali e l'arbitro gli hanno concesso.;pl;_;_;greater_plurality/accumulation;nominal
cuore a cuore;no;a;cuore;E poi ci fu la marsupioterapia, il primo contatto;cuore a cuore;.;sg;_;_;juxtaposition/contact;modifier
zero a zero;yes;a;zero;Il risultato non si sbloccava e si era sempre sullo;zero a zero;.;sg;NumPNum;no;distractor;_
mattone a mattone;yes;a;mattone;n questi casi l'intensità dell'urto non era determinante, bastava scuotere l'edificio una sola volta e le vibrazioni si propagavano con incredibile leggerezza e rapidità da;mattone a mattone;.;sg;PNPN;yes;distractor;_
goccia a goccia;yes;a;goccia;"Se, invece, la persona a cui volete regalarlo è come Coco Chanel, che diceva sempreche il profumo va messo ""dove si vuole essere baciate"", preferite un flacone: lo userà";goccia a goccia;.;sg;_;_;succession/iteration/distributivity;modifier
punto a punto;no;a;punto;Il computer può trattare frasi che arrivino a un massimo di 1500 caratteri da;punto a punto;.;sg;PNPN;yes;distractor;_
individuo a individuo;no;a;individuo;Alcune variabili, come temperatura dell'aria, appetito e livello di vigilanza oscillano durante il giorno da;individuo a individuo;.;sg;PNPN;yes;distractor;_
domande su domande;no;su;domanda;E sa anche che se presenta operazioni un po' bislacche, in consiglio può trovare anche chi comincerà a far;domande su domande;.;pl;_;_;greater_plurality/accumulation;nominal
fogli su fogli;no;su;foglio;Dopo una giornata trascorsa in giro con me, riempie;fogli su fogli;.;pl;_;_;greater_plurality/accumulation;nominal
goccia a goccia;yes;a;goccia;Con il tempo la situazione peggiora: lo svuotamento avviene a più riprese,;goccia a goccia;.;sg;_;_;succession/iteration/distributivity;modifier
zero a zero;yes;a;zero;Nell'intervallo, con il risultato sullo;zero a zero;, negli spogliatoi Tommaso da vero leader cominciò a dare indicazioni, consigli, e non si risparmiava nei rimproveri.;sg;NumPNum;no;distractor;_
volta a volta;no;a;volta;Quanto al corpo, nonostante tanta tradizione del pensiero occidentale (e talvolta, del migliore, come quello di Platone dello stupendo Fedone) sia stata avvezza a pensarlo,;volta a volta;, come tomba dell'anima o come semplice strumento dell'anima stessa, è pur vero che altre tradizioni, ad esempio orientali, si sono profuse a sottolineare che il corpo è come un tempio, in cui l'esperienza multiforme del mondo celebra, istante dopo istante, i propri riti.;sg;_;_;succession/iteration/distributivity;modifier
donne su donne;no;su;donna;Se la scorsa settimana ho scelto libri di;donne su donne; in questa puntata voglio cambiare completamente genere perché voglio proporvi quattro libri distopici, due pubblicati nel corso del '900 (che non sono i classici come 1984 di Orwell, Fahrenheit 451 di Bradbury, Il racconto dell'ancella della Atwood o La svastica sul sole di Dick) e due invece molto più recenti.;pl;thematic_target;no;distractor;_
corpo a corpo;yes;a;corpo;Ma anche questa volta per occupare la Città Santa devono combattere;corpo a corpo;con i palestinesi per annientare la resistenza araba.;sg;_;_;juxtaposition/contact;modifier
volume su volume;yes;su;volume;Questo è un semplice lettore con play pausa avanti indietro;volume su volume;giù.;sg;NsuNgiù;yes;distractor;_
80 su 80;yes;su;80;"Alla risposta: ""dovevate o dovevano studiare di più"" noi replichiamo in questo modo: ""anche se tutti gli studenti avessero preso";80 su 80;comunque tantissimi sarebbero tornati a casa!;X;NumPNum;no;distractor;_
Roma su Roma;no;su;Roma;Equiparata ai docenti che si spostano;Roma su Roma;come sembra dall' articolo 25 del contratto nazionale di mobilità? ;X;thematic_target;no;distractor;_
dubbi su dubbi;no;su;dubbio;Chiara era felice perché questa scelta le aveva evitato di accumulare;dubbi su dubbi;, perché Alessandro D'Amico era una garanzia.;pl;_;_;greater_plurality/accumulation;nominal
porta a porta;yes;a;porta;Nella prefazione ho accennato al piccolo libro Dame al Macao di Alberto Arduini, raffinatissimo antiquario romano con negozio prima in via Frattina, poi in piazza di Spagna;porta a porta;con la KeatsShelley Memorial.;sg;_;_;succession/iteration/distributivity;modifier
7 su 7;yes;su;7;Sta meglio il secondo anno (43 partite, 11,3 di medie), quando spara un;7 su 7;da tre al Madison Square Garden di New York.;X;NumPNum;no;distractor;_
controlli su controlli;no;su;controllo;Strade bloccate, frontiere minate, posti di blocco volanti,;controlli su controlli;, ormai il Kosovo è solo questo.;pl;_;_;greater_plurality/accumulation;nominal
goccia a goccia;yes;a;goccia;Cominciò a scavare con la punta della spada finché vide affiorare lentamente,;goccia a goccia;, dell'acqua.;sg;_;_;succession/iteration/distributivity;modifier
parete a parete;no;a;parete;Aveva già costruito la stazione, un villaggio di casette di legno, alberi di cartone e un ambiente di colline e tunnel in miniatura che si stendeva da;parete a parete;impedendo il passaggio attraverso la stanza.;sg;PNPN;yes;distractor;_
individuo a individuo;no;a;individuo;Zika è un virus che si trasmette da;individuo a individuo;principalmente attraverso un vettore: le zanzare di tipo Aedes.;sg;PNPN;yes;distractor;_
porta a porta;yes;a;porta;Al via la raccolta differenziata a Molini, Girola e Valtenna Mercoledì 18 dicembre inizia il nuovo servizio di raccolta differenziata -;porta a porta;nei quartieri Molini, Girola e Valtenna.;sg;_;_;succession/iteration/distributivity;modifier
individuo a individuo;no;a;individuo;La mancanza di equilibrio tra le due culture, umanistica e scientifica, ha rallentato in passato la trasmissione del sapere da;individuo a individuo;nella collettività, favorendo la fuga dei migliori ingegni verso lidi più accoglienti.;sg;PNPN;yes;distractor;_
individuo a individuo;no;a;individuo;Tali percezioni e spiegazioni differiscono da;individuo a individuo;, a causa dell'influenza delle opinioni formatesi in precedenza e del complesso degli atteggiamenti.;sg;PNPN;yes;distractor;_
rinvii su rinvii;no;su;rinvio;Quindici giorni in cui le attività giudiziarie penalistiche - i processi, grandi e piccoli, di criminalità comune e organizzata, acaricodi imputati eccellenti e sconosciuti - hanno subito, in tutt'Italia,;rinvii su rinvii;e accumulato ritardi.;pl;_;_;greater_plurality/accumulation;nominal
foto su foto;yes;su;foto;Prende la polaroid e scatta;foto su foto;.;sg/pl;_;_;greater_plurality/accumulation;nominal
scommesse su scommesse;yes;su;scommessa;Oggi ci sono i derivati e le opzioni si moltiplica il denaro esistente in modo enorme, perché sono;scommesse su scommesse;su scommesse.;pl;_;_;greater_plurality/accumulation;nominal
individuo a individuo;no;a;individuo;Se la razza è in genere un buon indicatore della natura dell'intelligenza istintiva del cane, l'intelligenza adattiva dipende da;individuo a individuo;.;sg;PNPN;yes;distractor;_
interessi su interessi;no;su;interesse;Deve escludersi l'obbligo di corresponsione di;interessi su interessi;(cosiddetto anatocismo ex articolo 1283 del codice civile) a fronte della ritardata esecuzione di un rimborso Iva da parte dell'amministrazione finanziaria.;pl;_;_;greater_plurality/accumulation;nominal
individuo a individuo;no;a;individuo;I ricordi che un adulto ha della propria vita infantile sono variabili da;individuo a individuo;, ma, generalmente, più si va a ritroso nel tempo e minore è la quantità di ricordi.;sg;PNPN;yes;distractor;_
grado a grado;no;a;grado;Fu scritto in un'epoca d'infermità e di vanità intellettuale, quando io allettato dalle mollezze dell'ozio andavo perdendo a;grado a grado;tutte le forze accumulate in parecchi anni di studio e non curante volgevo le spalle ai saggi amici che venivano a gridarmi: - o rinnovarsi, o morire!;sg;PNPN;yes;distractor;_
numero su numero;yes;su;numero;È possibile cancellare simultaneamente la programmazione dei servizi prenotazione, deviazione; numero su numero;interno, deviazione su numero esterno e non disturbare.;sg;N_extended;no;distractor;_
individuo a individuo;no;a;individuo;Come precisano i ricercatori, la soglia di sensibilità alla sofferenza varia da;individuo a individuo;e, per stabilirla, bisogna considerare anche una buona dose di ereditarietà.;sg;PNPN;yes;distractor;_
organo a organo;no;a;organo;Nelle piante superiori la velocità di accrescimento varia invece da;organo a organo;.;sg;PNPN;yes;distractor;_
goccia a goccia;yes;a;goccia;"È solo che mi piace sentirti parlare di quando il mare si poteva vedere, di quando ci si poteva entrare dentro; mi piace bere,";goccia a goccia;, quel distillato di saggezza che... --- Il distillato di tua mamma!;sg;_;_;succession/iteration/distributivity;modifier
pietra su pietra;yes;su;pietra;I monaci hanno progettato e costruito;pietra su pietra;, cattedrali e monasteri.;sg;_;_;succession/iteration/distributivity;modifier
goccia a goccia;yes;a;goccia;La medicina nutriva Malaussene con parsimonia,;goccia a goccia;.;sg;_;_;succession/iteration/distributivity;modifier
porta a porta;yes;a;porta;Un libro del 2015 aveva riassunto in questa tabella il rapporto costi POTH benefici delle varie tattiche da mettere in moto per portare qualcuno a votare, dalla campagna;porta a porta;(31 dollari per voto) alle telefonate dei volontari (35 dollari per voto).;sg;_;_;succession/iteration/distributivity;modifier
stato a stato;no;a;stato;Gli effetti, comunque, variano di molto da;stato a stato;"; alcuni hanno quasi eliminato l'uso di insetticidi contro questi insetti nocivi e altri invece hanno quasi raddoppiato il loro impiego.";sg;PNPN;yes;distractor;_
complotto a complotto;yes;a;complotto;Un progetto astratto di complotto migrava da;complotto a complotto;.;sg;PNPN;yes;distractor;_
neurone a neurone;yes;a;neurone;"Solo i nomi mi rimangono impressi; e stralci di dialoghi che rimbalzano da";neurone a neurone;.;sg;PNPN;yes;distractor;_
2 su 2;yes;su;3;Da segnalare anche un ottima prestazione di Cazzulo con 3 su 3 da due e;2 su 2;dalla lunetta, in momenti importanti della gara.;X;NumPNum;no;distractor;_
provincia a provincia;no;a;provincia;La parte più sostanziosa della domanda regionale di alloggi è garantita da chi si trasferisce da un'altra regione o da;provincia a provincia;: oltre il 39 per cento.;sg;PNPN;yes;distractor;_
goccia a goccia;yes;a;goccia;Aggiungete, sempre mescolando, l'olio di vaselina;goccia a goccia;.;sg;_;_;succession/iteration/distributivity;modifier
corpo a corpo;yes;a;corpo;Come dice Manuel Estiarte, il più forte pallanuotista di tutti i tempi: «È vero, bisogna calcolare che le probabilità che Messi esca sconfitto da un impatto;corpo a corpo;sono elevate, come elevato è il rischio che venga totalmente travolto dai difensori.;sg;_;_;juxtaposition/contact;modifier
zero a zero;yes;a;zero;Ora ancora in Germania si riparte quasi da;zero a zero;.;sg;NumPNum;no;distractor;_
porta a porta;yes;a;porta;"Un altro vantaggio per i broker è che i potenziali clienti ""visitano"" l'immobile online, liberando il professionista dall'onere di condurre";porta a porta;gli acquirenti interessati.;sg;_;_;succession/iteration/distributivity;modifier
grado a grado;no;a;grado;Si infila nelle case e, con quella storia che la malattia si guarisce a;grado a grado;, ci mangia a sbafo per un bel po' e non se ne va finché non gli danno qualcosa da portarsi via.;sg;PNPN;yes;distractor;_
goccia a goccia;yes;a;goccia;Era solito compiacersi nel centellinare;goccia a goccia;l'esposizione delle proprie opinioni per tenere in sospeso gli ascoltatori.;sg;_;_;succession/iteration/distributivity;modifier
jeans su jeans;yes;su;jeans;Quindi abbinare un capo di questo tipo è, sottinteso, che sarà più facile di una semplice camicia di;jeans su jeans;elegante oppure un giabbottino.;sg/pl;N_extended;no;distractor;_
strato su strato;no;su;strato;Cominciai a sbollentare le lasagne e a disporle nella teglia;strato su strato;, ma se avessi potuto distogliere Melchor dal suo gaydar.com gli avrei dato i soldi e gli avrei chiesto di andare a comperarmene una nuova di ghisa.;sg;_;_;succession/iteration/distributivity;modifier
punto a punto;no;a;punto;I nuovi sistemi di trasmissione a distanza si differenziano dai precedenti - telegrafo e telefono - perché non costituiscono un legame da;punto a punto;.;sg;PNPN;yes;distractor;_
porta a porta;yes;a;porta;L'Ambiente oggi cerca 20 distributori (uno per ogni regione) più venditori;porta a porta;in tutta Italia.;sg;_;_;succession/iteration/distributivity;modifier
punto a punto;no;a;punto;Oggi ci rendiamo conto che la critica faradayana alla nozione di particella, inquanto scaturisce da una fisica del continuum dove le interazioni agiscono da;punto a punto;.;sg;PNPN;yes;distractor;_
tasse su tasse;no;su;tassa;Dopo un anno, disoccupazione alle stelle,;tasse su tasse;, pensioni in pericolo, criminalità impunita e spavalda, città nelle mani di spacciatori e violenti, il futuro è visto da molti incerto e drammatico.;pl;_;_;greater_plurality/accumulation;nominal
corpo a corpo;yes;a;corpo;Elias insegnava ai popolani come schierarsi in falange, puntare le picche, affrontare un uomo;corpo a corpo;.;sg;_;_;juxtaposition/contact;modifier
goccia a goccia;yes;a;goccia;Circuiti cognitivi che si tenta di riattivare passo dopo passo,;goccia a goccia;, perché «lo sviluppo cognitivo può essere come una botte, che riempi molto velocemente, oppure come una damigiana che ha il collo stretto e va riempita lentamente.;sg;_;_;succession/iteration/distributivity;modifier
porta a porta;yes;a;porta;Entro fine anno il vetro si raccoglierà;porta a porta;.;sg;_;_;succession/iteration/distributivity;modifier
119 su 119;no;su;119;Attivate al 100 % le procedure di bonifica per i siti inquinati a breve termine, in tutto;119 su 119;, e al 58 % quelle per i 146 siti a medio termine, mentre per i 60 siti di piano definiti ' in approfondimentò (considerati a medio termine nell' attesa della definitiva classificazione nell' ambito dell' approvazione dei Piani Provinciali), tale percentuale scende al 32 %.;X;NumPNum;no;distractor;_
strato su strato;no;su;strato;A sua volta, il pensiero si divide, come dire, anche da se stesso, in accumulo, foglio sopra foglio, azione dopo ricordo, riflessione sopra decisione, lasciandomi come una grande cipolla,;strato su strato;, nel cui cuore profondo risuonano, lancinanti e abissali, le parole del Grande Matthys, il Dio Fornaio.;sg;_;_;succession/iteration/distributivity;modifier
teglie su teglie;yes;su;teglia;Un gigantesco pesce spada grigliato,;teglie su teglie;di parmigiana di melanzane, treccione di mozzarella di bufala, pasta con le zucchine fritte, crocchette ed arancini, una gigantesca torta di panna al limone, sfogliatelle e babà al rhum.;pl;_;_;greater_plurality/accumulation;nominal
energia su energia;yes;su;energia;Tradotto in italiano è il ritorno di;energia su energia;"investita; è un rapporto tra due valori numerici espressi in kWh.";sg;N_extended;no;distractor;_
goccia a goccia;yes;a;goccia;I suoi occhi sfavillano ora di un desiderio mai visto di vita, di piacere, ora di tristezza profonda, vissuta;goccia a goccia;, una desolazione tanto esausta da sconfinare nell'ironia.;sg;_;_;succession/iteration/distributivity;modifier
fotogramma a fotogramma;yes;a;fotogramma;Una mitologia personale, insomma, costruita;fotogramma a fotogramma;"ritagliandomi di netto ciò che è necessario per un Olimpo fatto in casa: un pugno di tragedie sofoclee, uomini ed eroi, martiri casuali, omicidi senza fonte e senza fine; oppure: confondendo l'universo condiviso con gli album personali: eccola una foto di mio padre tale e quale a Satta Flores in C'eravamo tanto amati.";sg;_;_;succession/iteration/distributivity;modifier
porte su porte;yes;su;porta;Non trattare il proprio spazio di comunicazione come una reggia dove;porte su porte;si aprono ai diversi poteri politici facendo divenire opinionisti soubrette e strateghi di approfondimento e portaborse esperti di moduli 740.;pl;_;_;greater_plurality/accumulation;nominal
justin su justin;no;su;justin;belibers.....cazzo calmatevi fate paura....justin di qua justin di là;justin su justin;giù!;X;NsuNgiù;yes;distractor;_
corpo a corpo;yes;a;corpo;Saphira era meglio equipaggiata dei Lethrblaka per il combattimento;corpo a corpo;, grazie alle squame - più dure e resistenti della loro pellaccia grigia - e ai denti - di gran lunga più letali del loro becco in uno scontro ravvicinato - ma in quella situazione, con il basso soffitto della caverna che le dava scarsa libertà di manovra per saltare o volare, aveva non poche difficoltà a tenere testa a due creature che l'attaccavano contemporaneamente.;sg;_;_;juxtaposition/contact;modifier
zero a zero;yes;a;zero;Un Milan con poche idee non va oltre lo;zero a zero;contro il Brescia.;sg;NumPNum;no;distractor;_
80 su 80;yes;su;80;Faccia presente che anche se tutta la gente sapesse le cose benissimo, da prendere;80 su 80;comunque tantissima gente dovrebbe tornare a casa.;X;NumPNum;no;distractor;_
Guccini su Guccini;no;su;Guccini;Forse il fatto d'essere un lavoro di;Guccini su Guccini;, la possibilità di curiosare nell'armadio dei sogni e dei ricordi, mettendoci a disposizione fin dalla copertina la foto di famiglia del bisnonno che gli ha dato il nome (e sul retro, ma non cercatela nel booklet del cd, un'austera immagine della sua,;X;thematic_target;no;distractor;_
goccia a goccia;yes;a;goccia;Nei giorni a venire e nelle notti illuni e nelle notti quando una luna fulgidissima splendeva sopra la terra, il vecchio avrebbe continuato a parlargli, a parlargli,;goccia a goccia;, sassolino su sassolino, petalo dopo petalo.;sg;_;_;succession/iteration/distributivity;modifier
parete a parete;no;a;parete;Fu allora che i suoi piedi inciamparono in un filo sottile, teso da;parete a parete;", un filo che la sua foga non gli aveva fatto né vedere né cercare; il filo si tese, tirandosi e strappandosi, e nell'aria pesante si udì lo squillante tintinnio di numerosi campanelli lontani: un rudimentale sistema d'allarme.";sg;PNPN;yes;distractor;_
sportello a sportello;no;a;sportello;Mai più vedere soggetti che passano da;sportello a sportello;di uffici pubblici, talvolta con effetti defatiganti e che fanno di per sé sfiduciare completamente l'utente circa l'efficienza del servizio reso.;sg;PNPN;yes;distractor;_
razza a razza;no;a;razza;Tra gli animali, cani ed equini sono poi di gran lunga più acclimabili di ovini e bovini, la cui adattabilità differisce da;razza a razza;.;sg;PNPN;yes;distractor;_
individuo a individuo;no;a;individuo;Questi caratteri sono variabili da;individuo a individuo;"; essi sono infatti il passaggio nel soggetto percettore del s. di caratteri fisici ben precisi dell'onda, che è l'unica realtà fisica del fenomeno.";sg;PNPN;yes;distractor;_
nazione a nazione;no;a;nazione;Secondo, perché ci si deve aspettare che l'impatto dell'impiego materno vari molto da;nazione a nazione;, producendo effetti più problematici là dove l'assistenza ai figli è di bassa o discontinua qualità e meno problematici dove l'assistenza è di alta qualità.;sg;PNPN;yes;distractor;_
sede a sede;yes;a;sede;Il numero di impiegati all'estero è più o meno lo stesso dai tempi dell'indagine precedente, ma varia da;sede a sede;, con il minimo assoluto a Napoli.;sg;PNPN;yes;distractor;_
palla su palla;yes;su;palla;Concludiamo salendo a Noriglio, dove nel girone H, bellissima e tiratissima gara fra Calabria e Puglia che se la giocano;palla su palla;fino al decisivo tie - break.;sg;_;_;succession/iteration/distributivity;modifier
