context_pre	pre_lemma
sventagliò	sventagliare
con	con
incessantemente	incessantemente
sollevando	sollevare
avuto	avere
creare	creare
conseguenze:	conseguenza
ribattendo	ribattere
d'arte,	arte
voga	voga
scriveva	scrivere
dio	dio
passare	passare
teatro	teatro
accumulato	accumulare
–	cucina
su	su
divorando	divorare
disposizione	disposizione
batterci	battere
giocano	giocare
respinge	respingere
recuperato	recuperare
recupera	recuperare
avvicinato	avvicinare
difendere,	difendere
romantico	romantico
Confermo	confermare
detti	dare
piallare	piallare
un	un
commettono	commettere
sedere,	sedere
senza	senza
necessari	necessario
giorno	giorno
ricostruiti	ricostruire
elaborando	elaborare
edificio,	edificio
cercato	cercare
aggiungendo	aggiungere
-	cumulativamente
edificato	edificare
costruito	costruire
costruita	costruire
me	me
neppure	neppure
dove	dove
risalito	risalire
risalire	risalire
famiglia,	famiglia
sfornare	sfornare
casse	cassa
,	accusa
porta	portare
lavoro	lavoro
ormai	ormai
Belbo	Belbo
a	a
fa	fare
esperimenti,	esperimento
segnare	segnare
accumula	accumulare
guadagnando	guadagnare
rivendica	rivendicare
lottare	lottare
respinto	respingere
dimostrazione	dimostrare
ribattuto	ribattere
risponde	rispondere
Lauda,	Lauda
ribattere	ribattere
replica	replicare
così	così
lottando	lottare
contrastare	contrastare
così,	così
macinando	macinare
macinano	macinare
risucchiati,	risucchiati
presentando	presentare
sommo	sommare
queste	questo
tutt'Italia,	Italia
accumulano	accumulare
accumula	accumulare
collezionando	collezionare
più:	più
sovrapponendo	sovrapporre
svolgendo	svolgere
fare	fare
e	e
facevo	fare
fare	fare
susseguono	susseguire
inghiottire	inghiottire
assassino,	assassino
tregua	tregua
disperati,	disperato
svaniscono	svanire
goccia,	goccia
collezionare	collezionare
recapitare	recapitare
inanellando	inanellare
prendeva	prendere
palcoscenico	palcoscenico
sono	essere
su	su
perdere	perdere
appaiono	apparire
con	con
collezionando	collezionare
di	di
anche,	anche
sfornare	sfornare
e	e
chiedere	chiedere
fare	fare
su	su
individui	individuo
chiedere	chiedere
colore,	colore
subite	subire
trascorsero	trascorrere
intrecciare	intrecciare
raccontare	raccontare
giorno,	giorno
da	da
sovrapposti"	sovrapporre
incollati	incollare
formando,	formare
teglia	teglia
che,	che
cipolla,	cipolla
sistemate	sistemare
macinano	macinare
vita,	vita
aggiungendo	aggiungere
stelle,	stella
grigliato,	grigliato
mandare	mandare
spedivi	spedire
espropria	espropriare
guadagnando	guadagnare
mattone,	mattone
cisto	cisto
fango,	fango
ricostruiti	ricostruire
sfornava	sfornare
accumulava	accumulare
alimentato	alimentare
strade,	strada
Giovanni,	Giovanni
pubblicato	pubblicare
elevano	elevare
sforna	sfornare
significato	significato
immolare	immolare
consultare	consultare
raccatta	raccattare
sarà	essere
conquistare	conquistare
