Context.php?Start=131468676&End=131468678	acero a acero	Immaginando di tradurre le tinte in suoni, si sentirebbe il gemito del popolo delle foreste, un'eco straziante che si propaga da 	acero a acero	, da quercia a quercia.
Context.php?Start=38015205&End=38015207	bocca a bocca	Sperava che saltasse fuori un veleno o una tossina, ma gli interessava anche sapere se Clive era positivo all'HIV, datoche gli aveva praticato la respirazione a 	bocca a bocca	 ed era entrato in contatto col suo sangue.
Context.php?Start=38156588&End=38156590	bocca a bocca	» Cominciò a praticare la respirazione 	bocca a bocca	 a Phillip mentre scendeva le scale.
Context.php?Start=39307924&End=39307926	bocca a bocca	E Sage e Meredith continuavano a farti la respirazione 	bocca a bocca	.
Context.php?Start=43495932&End=43495934	bocca a bocca	Tentai di rianimarlo, a bordo c'era un medico che provò la respirazione 	bocca a bocca	, ma non c'era più nulla da fare.
Context.php?Start=46619597&End=46619599	bocca a bocca	Sembrava che ci fosse poco da fare per la piccola Jihan: «Il camionista ha portato dell'acqua per lavarla dal sangue, e io ho provato a farle la respirazione 	bocca a bocca	.
Context.php?Start=48062074&End=48062076	bocca a bocca	Se invece vedi una persona attaccata alla bocca di un'altra, esistono effettivamente più possibilità: che stiano facendo respirazione 	bocca a bocca	, che, vista la miseria, abbiano un solo apparecchio per raddrizzare i denti e lo usino in contemporanea, o che si bacino.
Context.php?Start=48071721&End=48071723	bocca a bocca	Peccato che lui fosse semistecchito e che, quindi, gli abbiano dovuto praticare prima il massaggio cardiaco e poi la respirazione 	bocca a bocca	.
Context.php?Start=48705753&End=48705755	bocca a bocca	La madre era sparita dietro le spalle larghe dello sconosciuto, i due stavano attaccati 	bocca a bocca	 e si stringevano forte.
Context.php?Start=49125668&End=49125670	bocca a bocca	Ripasso mentalmente le mosse della respirazione 	bocca a bocca	 e incomincio.
Context.php?Start=49125913&End=49125915	bocca a bocca	I soccorsi potrebbero arrivare troppo tardi.Ã» Leonardo si china su Lucrezia e inizia a farle anche lui la respirazione 	bocca a bocca	.
Context.php?Start=49876848&End=49876850	bocca a bocca	Se non avesse ripreso a respirare, doveva procedere con la respirazione 	bocca a bocca	.
Context.php?Start=59647095&End=59647097	bocca a bocca	Così la"guerriglia Â non è stata organizzata da gruppi d'élite, da attivisti di qualche sorta, da una"punta di diamante Â, ma si è sviluppata spontaneamente, come una sorta di tam tam, di trasmissione 	bocca a bocca	 da cittadino a cittadino.
Context.php?Start=64803901&End=64803903	bocca a bocca	D'altra parte, quando lenta, ostinata e inesorabile, un'ora prima sfiorava i palazzi, le cupole e i campanili più agili e ariosi del mondo, noi, che da un'altana osservavamo il suo 	bocca a bocca	 con Palazzo Ducale, San Giorgio Maggiore, la chiesa della Salute, avevamo la netta impressione che la nave fosse Venezia, e che la città senza radici e senza identità fosse invece questa Msc Preziosa, con il suo esotismo omologato, il dominio di un ordine finto aldilàdi ogni misura e di ogni codice, il triangolo delle Bermude delle identità perdute delle città del mondo ormai alla deriva, il luccicante spazio - spazzatura inventato dall'architetto Koolhaas che proprio quest'anno dirigerà la Biennale: 140mila tonnellate di junkspace, 68 metri d'altezza, 4.345 passeggeri, 1.751 cabine, 97 suite con maggiordomo personale in tight e guanti bianchi, il teatro Platinum con 1.600 posti, 4 piscine, 12 jacuzzi, 9 ristoranti (uno Eataly) e 26 ascensori per portare Astolfo sulla Luna.
Context.php?Start=66188972&End=66188974	bocca a bocca	Bruciavano i fuochi: e, inoltrandosi la notte, dilatando sopra i tetti e lungo gli asfalti il dorso, sembrava mirassero a congiungere 	bocca a bocca	 avviluppando in un abbraccio evidentemente mortale tutta la città.
Context.php?Start=72117818&End=72117820	bocca a bocca	""Ah... e quando vi ho trovati abbracciati, 	bocca a bocca	, cosa stavate facendo, l'aereosolterapia reciproca?
Context.php?Start=72307736&End=72307738	bocca a bocca	Mia nonna mi aveva praticato una tempestiva respirazione 	bocca a bocca	, sperando di essere arrivata in tempo, primadi lesioni irreparabili al cervello.
Context.php?Start=72509590&End=72509592	bocca a bocca	Dopo quel 	bocca a bocca	 estenuante per rianimare Tom, uno che prende vita per conto suo.
Context.php?Start=73956719&End=73956721	bocca a bocca	A difendere gli amanti aveva fatto scendere una coltrina di avara trasparenza, e quei corpi ormai scoperti erano libri di solare negromanzia, i cui accenti sacri si rivelavano a due soli eletti, che si sillabavano a vicenda 	bocca a bocca	.
Context.php?Start=77496291&End=77496293	bocca a bocca	Quando Immacolata vide che non respirava gli gettò sul viso acqua fredda, ma il rimedio non ebbe alcun effetto, allora si ricordò di un programma televisivo e si mise a fargli la respirazione 	bocca a bocca	 e a colpirgli il petto con i pugni.
Context.php?Start=79623908&End=79623910	bocca a bocca	Tu boccheggiavi e tossivi; poi ti facevano la respirazione 	bocca a bocca	 ed eri fuori pericolo.
Context.php?Start=79702059&End=79702061	bocca a bocca	Juanita si precipitò a praticarle la respirazione a 	bocca a bocca	, ma l'altra, quando si riprese, per poco non la denunciò per atti osceni.
Context.php?Start=84190144&End=84190146	bocca a bocca	L'altro agente praticò a Sullivan la respirazione artificiale 	bocca a bocca	.
Context.php?Start=84478177&End=84478179	bocca a bocca	Tutti dovrebbero essere capaci di fare un letto, di cucinare un semplice pasto, di cucire un bottone, di bendare una ferita, di scacciare un cane, di aggiustare un rubinetto, di aprire una vongola, di fare la respirazione 	bocca a bocca	: non c'è fine alle cose che dovremmo imparare a fare.
Context.php?Start=84715876&End=84715878	bocca a bocca	Karin levò la mano: Ma nella Bibbia c'è scritto che Dio ha soffiato la vita dentro il primo uomo... La respirazione 	bocca a bocca	!
Context.php?Start=85075353&End=85075355	bocca a bocca	Mentre una fazione sosteneva che fosse meglio metterlo seduto, bagnargli la fronte e parlargli, un altro gruppo asseriva, sempre a squarciagola, che fosse meglio lasciarlo così com era, in attesa del capufficio, vale a dire tutto raggomitolato e col sangue che gli usciva dal naso; invece un terzo partito, con a capo Clara, optava energicamente per riattivargli la circo ] azione sanguigna mettendolo a testa in giù, massaggiandogli i polsi, picchiet tandogli le guance e facendogli addirittura la respirazione 	bocca a bocca	.
Context.php?Start=88956623&End=88956625	bocca a bocca	Tutto si vela, tutto si ammanta, tutto trapassa così in un mondo parallelo dove anche il dolore può stemperarsi nel calore delle leggende, nella familiarità dei lunghi racconti 	bocca a bocca	.
Context.php?Start=95719097&End=95719099	bocca a bocca	Acausadi queste fasi di rigetto acuto, e non sapendo come affrontarle, Barnard e la equipe decisero di effettuare il trapianto eterotopico, una tecnica che consiste nel lasciare in sito il cuore originale, la sua parete posteriore degli atrii viene anastomizzata (ricongiungimento 	bocca a bocca	, in questo di vene e arterie), agli atrii del secondo cuore inmododa consentire una assistenza o una vera e propria sostituzione funzionale al cuore malato.
Context.php?Start=96812548&End=96812550	bocca a bocca	Il significato erotico del bacio deriverebbe dall'alimentazione 	bocca a bocca	 dell'infante.
Context.php?Start=97402260&End=97402262	bocca a bocca	Il piano, così organizzato, dovrebbe rimanere segreto, ma ben presto tutta la popolazione, con un passaggio di 	bocca a bocca	, viene a sapere del disegno messo in atto dal Governatore.
Context.php?Start=100520589&End=100520591	bocca a bocca	Come si diffondono, ingigantendosi nel passare da 	bocca a bocca	 o da scritto a scritto?
Context.php?Start=119082871&End=119082873	bocca a bocca	Intanto io gli facevo la respirazione 	bocca a bocca	 e il massaggio cardiaco, gli cambiavo il pigiama sporco, lo tenevo su per la testa.
Context.php?Start=123383878&End=123383880	bocca a bocca	Per oltre 15 minuti ha tenuto in vita un amico intrappolato sott'acqua soffiandogli aria nei polmoni con ripetute immersioni e altrettante "respirazioni 	bocca a bocca	".
Context.php?Start=125958999&End=125959001	bocca a bocca	In attesa dell'arrivo dell'ambulanza gli hanno praticato il massaggio cardiaco e la respirazione 	bocca a bocca	 ma tutto è stato inutiule.
Context.php?Start=130794304&End=130794306	bocca a bocca	Incurante dei rischi di contagio che si possono correre in casi del genere, il capopattuglia, Marco Colmo, ha praticato al tossicodipendente la respirazione 	bocca a bocca	; l'autista, Mauro Cucciniello, gli ha, quindi, fatto il massaggio cardiaco.
Context.php?Start=134880336&End=134880338	bocca a bocca	Si è trascinato per qualche metro finoall'uscita della fabbrica, poi è crollato sul marciapiede sotto gli occhi del giovane complice, che ha tentato inutilmente di animarlo con la respirazione 	bocca a bocca	.
Context.php?Start=143872203&End=143872205	bocca a bocca	Di più, provano a rianimare i due amici: massaggio cardiaco, respirazione 	bocca a bocca	.
Context.php?Start=144933713&End=144933715	bocca a bocca	Se il bambino non respira: intervenire con la respirazione "	bocca a bocca	", insufflando aria tenendo chiuse le narici con le dita.
Context.php?Start=144934667&End=144934669	bocca a bocca	Se, invece, la vittima dovesse presentarsi priva di sensi e avere difficoltà respiratorie, iniziate immediatamente la respirazione artificiale 	bocca a bocca	.
Context.php?Start=145963898&End=145963900	bocca a bocca	Insegnare al maggior numero di persone (ad esempio studenti delle scuole medie superiori) le tecniche del massaggio cardiaco e della respirazione 	bocca a bocca	.
Context.php?Start=146444403&End=146444405	bocca a bocca	Le manovre salvavita A Se è incosciente liberare le vie aeree B Verificare se il bambino respira C Respirazione bocca - naso per i neonati D Massaggio cardiaco per il lattante E Respirazione 	bocca a bocca	 A Nel bambino incosciente la lingua tende a scivolare indietro e a ostruire il passaggio dell'aria.
Context.php?Start=146444483&End=146444485	bocca a bocca	C Se non respira, intervenire per la respirazione 	bocca a bocca	.
Context.php?Start=146444586&End=146444588	bocca a bocca	E Nel bambino da 1 a 8 anni si fa la respirazione 	bocca a bocca	, tenendo chiuse le narici con le dita.
Context.php?Start=154197698&End=154197700	bocca a bocca	La rinuncia alla propria individualità è celebrata in Breathing In POTH Breathing Out (sempre del 1977) dove, 	bocca a bocca	 e con le narici chiuse da filtri di sigaretta, l'una respira nella bocca dell'altro, in una rappresentazione tragica di cosa succede quando si dipende completamente da un'altra persona.
Context.php?Start=7785267&End=7785269	bordo a bordo	Prima si tracciano delle linee in una direzione, da 	bordo a bordo	.
Context.php?Start=162411491&End=162411493	bordo A bordo	  La situazione a 	bordo A bordo	 della nave, dove i migranti (rimasti adesso in 134) hanno passato la loro quindicesima notte, la situazione è ormai diventata insostenibile sia dal punto di vista igienico sanitario (come ha certificato l'ispezione del Cisom) ma anche dal punto di vista psicologico.
Context.php?Start=74451891&End=74451893	borsa a borsa	I biglietti di carta spessa, antica, resa da un indefinibile numero di passaggi da mano a mano, da 	borsa a borsa	, così morbida e frusciante da sembrare stoffa, mandano un odore forte, come di pelle conciata.
Context.php?Start=157426408&End=157426410	braccio a braccio	Sembrerà assurdo ma il movimento anti - vaccinista è nato ancor primadella vaccinazione, durante la variolazione, ovvero il passaggio del vaiolo da pustola a pustola, da 	braccio a braccio	, che, tuttavia, presentava un tasso di mortalità piuttosto alto (intornoal 6-7%), che ha creato il rifiuto di questo tipo di terapia.
Context.php?Start=157865496&End=157865498	braccio a braccio	Primo edificio per la musica progettato dallo studio di Michel Rojkind, è il frutto di un processo progettuale sviluppato 	braccio a braccio	 con la direzione dell'Orchestra: le scelte riguardanti il tipo di sala, il numero di sedute e le destinazioni funzionali degli ambienti sono dunque condivise e volute dai successivi inquilini dello spazio.
Context.php?Start=68299796&End=68299798	brano a brano	Cominciò il corpo a corpo tra la folla e la milizia e più nessuno ebbe pietà: il leone affamato non strappa così a 	brano a brano	 l'antilope che ha ucciso e che sta mangiando.
Context.php?Start=68661569&End=68661571	brano a brano	"E siccome era stato portato lì davanti con tutti i suoi paramenti sacerdotali, iniziò un rito in cui 	brano a brano	 i paramenti gli venivano levati sinoa che rimase in quella vesticciola che a Firenze chiamano cioppa.
Context.php?Start=68837969&End=68837971	brano a brano	E mentre viene divorato 	brano a brano	 non saprà più chi abbia ragione, e quasi spera che il rito sia buono, per giustificare almeno la propria morte.
Context.php?Start=68950501&End=68950503	brano a brano	Lo avevano strappato a 	brano a brano	 a coloro che conoscevano i poteri di concentrazione cosmica della Pietra Nera della Mecca, retaggio dei magi babilonesi - perché era chiaro a questo punto che la Torre di Babele altro non era stata che il tentativo, ahimè troppo affrettato e giustamente fallito per la superbia dei suoi progettisti, di costruire il menhir più potente di tutti, salvoche gli architetti babilonesi avevano fatto male i conti perché, come aveva dimostrato padre Kircher, se la torre avesse raggiunto il suo culmine, per il peso eccessivo avrebbe fatto ruotare di novanta gradi e forse più l'asse terrestre, e il nostro povero globo si sarebbe trovato, anziché con una corona itifallica che puntava erettile verso l'alto, con un'appendice sterile, una mentula afflosciata, una coda scimmiesca, che sballonzolava verso il basso, una Shekinah perduta negli abissi vertiginosi di un Malkut antartico, flaccido geroglifico per pinguini.
Context.php?Start=70369908&End=70369910	brano a brano	Preso da passionali amnesie, lui che a tratti (e per pagine splendide) sa navigare per gli spazi siderali o aliare su interminate praterie, sempre più spesso si fa carne, vive in una donna rugosa e cadente, in un cartografo gobbo, in un ebreo fuggiasco, viene sacrificato 	brano a brano	 come disperata lucertola, spinge Mosè a inventare la storia e la missione del popolo eletto, si congiunge con una fanciulla ebrea e diventa, accorgendosene in ritardo, padre di Cristo, cercando di credere in lui, affrontandolo deluso, affascinato, impotente di fronte al suo dolore e alla sua gloria, parla con Agostino, sobilla Freud, complotta con Einstein... Ma è sempre più insicuro, voglioso che l'uomo compia il destino di entrambi, la perfezione del mondo umano e l'autocoscienza di lui, povero Dio, che attende sempreche qualcuno scriva le sue memorie, terrorizzato dalla grandezza e perfezione che i filosofi gli attribuiscono, ansioso di ripartire, e sempre risospinto a vivere sulla sua pelle di creatore carnale e continuamente incarnato gli orgasmi e il sangue, la gioia ed il dolore di quel mondo che non ha potuto non creare.
